table	column	dtype_source	nunique	memory_mb_object
records_source	definition	object	75193	8.6909
records_source	species_final	object	836	5.4944
records_source	organism	object	1002	5.4006
records_source	taxonomy_final_status	object	4	5.0178
records_source	accession_version	object	77099	4.3343
records_source	country_source	object	2	4.3298
records_source	accession	object	77099	4.1874
records_source	sequence_status	object	2	4.1176
records_source	country_final	object	135	4.0757
records_source	host	object	1250	4.0737
records_source	taxid	object	1001	3.9797
records_source	interest_group	object	9	3.971
records_source	geo_loc_name	object	845	3.9506
records_source	isolate	object	27317	3.9441
records_source	length_nt	object	7954	3.8367
records_source	collection_date	object	4281	3.8305
records_source	collection_year_num	object	76	3.7969
records_source	collection_year	object	76	3.7322
records_source	interest_rule	object	4	3.7177
records_source	strain	object	7521	3.7036
records_source	lab_host	object	134	3.6113
cds_source	species_final	object	821	31.8077
cds_source	organism	object	975	31.3211
cds_source	taxonomy_final_status	object	4	29.1734
cds_source	note	object	14272	28.9908
cds_source	protein_annotation_class	object	4	28.5281
cds_source	location	object	291845	28.4749
cds_source	product	object	10880	27.4261
cds_source	product_normalized	object	10285	27.4261
cds_source	host	object	1221	25.5399
cds_source	identifier_clue	object	446930	25.1872
cds_source	protein_id	object	446930	25.1872
cds_source	accession_version	object	48994	25.155
cds_source	identifier_clue_source	object	2	25.1502
cds_source	annotation_clue	object	11363	23.9863
cds_source	country_final	object	134	23.5228
cds_source	taxid	object	974	23.0995
cds_source	interest_group	object	9	23.02
cds_source	country_base	object	134	23.0046
cds_source	collection_date	object	4150	22.8715
cds_source	collection_year_num	object	76	22.4645
cds_source	annotation_clue_source	object	5	22.3653
cds_source	gene_normalized	object	5016	22.1501
cds_source	gene	object	5248	22.1501
cds_source	collection_year	object	76	21.939
cds_source	is_hypothetical	object	2	21.7645
cds_source	strand	object	2	21.5115
cds_source	function	object	658	21.4557
cds_source	interest_rule	object	4	21.441
cds_source	locus_tag	object	21177	21.3503
cds_source	standard_name	object	60	20.8887
cds_source	gene_synonym	object	19	20.8886
