host_original	host_final	host_group	records	normalization_rule	changed
Homo sapiens	Homo sapiens		22041	UNCHANGED	NO
Gallus gallus	Gallus gallus		1789	UNCHANGED	NO
Elephas maximus	Elephas maximus		1181	UNCHANGED	NO
swine	swine		926	UNCHANGED	NO
chicken	chicken		913	UNCHANGED	NO
horse	horse		796	UNCHANGED	NO
Equus caballus	Equus caballus		778	UNCHANGED	NO
Bos taurus	Bos taurus		648	UNCHANGED	NO
Homo spaiens	Homo sapiens		409	FIX_HOMO_SPAIENS_TO_HOMO_SAPIENS	YES
equine	equine		387	UNCHANGED	NO
Sus scrofa	Sus scrofa		353	UNCHANGED	NO
Macaca mulatta	Macaca mulatta		297	UNCHANGED	NO
cattle	cattle		294	UNCHANGED	NO
pig	pig		294	UNCHANGED	NO
Felis catus	Felis catus		285	UNCHANGED	NO
red deer	Red deer		206	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Homo sapiens; male	Homo sapiens		195	TRUNCATE_AT_FIRST_SEMICOLON	YES
Chelonia mydas	Chelonia mydas		192	UNCHANGED	NO
bovine	bovine		188	UNCHANGED	NO
Loxodonta africana	Loxodonta africana		177	UNCHANGED	NO
duck	duck		176	UNCHANGED	NO
dog	dog		137	UNCHANGED	NO
domestic cats	Domestic cats		130	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
porcine	porcine		127	UNCHANGED	NO
fallow deer	Fallow deer		120	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
domestic cat	Domestic cat		114	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Chicken	Chicken		110	UNCHANGED	NO
Canis lupus familiaris	Canis lupus familiaris		89	UNCHANGED	NO
Macaca fascicularis	Macaca fascicularis		88	UNCHANGED	NO
mule deer	Mule deer		87	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Equus asinus breed Pantesco	Equus asinus breed Pantesco		83	UNCHANGED	NO
Homo sapiens; female	Homo sapiens		81	TRUNCATE_AT_FIRST_SEMICOLON	YES
Bubalus bubalis	Bubalus bubalis		73	UNCHANGED	NO
Equus ferus caballus	Equus ferus caballus		71	UNCHANGED	NO
Homo sapiens; mononucleosis patient	Homo sapiens		70	TRUNCATE_AT_FIRST_SEMICOLON	YES
domestic pig	Domestic pig		67	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
thoroughbred horse	Thoroughbred horse		66	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
